heading (radians),x (meters),y (meters),theta (radians),cost
-1.0904058406614214,-2.0706897140889438,-0.3423231222134614,-1.0904058406614214,1.206070399723807e-06
-1.09040525327225,-2.0706890999288152,-0.34232421316225004,-1.09040525327225,1.2519432586635576e-06
-1.0904046237262184,-2.0706885465300977,-0.34232536970122374,-1.0904046237262184,1.2821203290799041e-06
-1.0904039726487025,-2.0706879997950747,-0.34232657252084375,-1.0904039726487025,1.321247222781175e-06
-1.0904033090714664,-2.0706874511196243,-0.34232781545527025,-1.0904033090714664,1.358650337077507e-06
-1.0904026727781098,-2.070686883090638,-0.3423289588725887,-1.0904026727781098,1.2767380675461153e-06
-1.0904020659580709,-2.0706862701084394,-0.3423300730824587,-1.0904020659580709,1.271696036991816e-06
-1.0912092472080712,-2.0701716641417693,-0.34331999653504136,-1.0912092472080712,0.0011156915984740514
-1.09306103946889,-2.069124653231685,-0.34533698108265504,-1.09306103946889,0.00227254450146695
-1.0954218982896058,-2.067551408480339,-0.3483840086026608,-1.0954218982896058,0.0034292092026167145
-1.098029610201093,-2.065457811200604,-0.3524641571395249,-1.098029610201093,0.004585930838181903
-1.0998607062456107,-2.0630474257037736,-0.35718757507300525,-1.0998607062456107,0.005302889327305774
-1.0992101910882401,-2.0604307207924752,-0.3623245183558177,-1.0992101910882401,0.005765009183309688
-1.0945498508297549,-2.057665025035385,-0.36772063529312565,-1.0945498508297549,0.0060635922539274585
-1.0847941197010955,-2.0547494603142824,-0.37331106296365124,-1.0847941197010955,0.0063050296733890105
-1.0698715115397692,-2.051530749057656,-0.37930364192305716,-1.0698715115397692,0.006802286728611794
-1.0499714307112413,-2.0480111746328125,-0.3855916486526745,-1.0499714307112413,0.007205999775445829
-1.0262294530808114,-2.0438463695233713,-0.39266354112375246,-1.0262294530808114,0.008207147173172703
-0.9999058792272048,-2.0392004759497144,-0.40011769317465895,-0.9999058792272048,0.008783433832834375
-0.9720439430836135,-2.0345881256390004,-0.4070902643018896,-0.9720439430836135,0.008360055233850704
-0.9442139371679447,-2.0297980982782304,-0.41390994507115586,-0.9442139371679447,0.008333811127666901
-0.9169550568260845,-2.024822085467284,-0.4205960969310667,-0.9169550568260845,0.008334586383768184
-0.8893256256070456,-2.0194092892231224,-0.4274786652720789,-0.8893256256070456,0.008756032786000283
-0.8629259198257327,-2.0137995137462945,-0.4342171164295403,-0.8629259198257327,0.008767913372171969
-0.8385975023806422,-2.0080215379221813,-0.4408095135460316,-0.8385975023806422,0.008766111131257658
-0.8148280600900167,-2.002849501019923,-0.4464329344320325,-0.8148280600900167,0.007640211265366355
-0.7912491430194033,-1.9970920713037765,-0.4524014116873252,-0.7912491430194033,0.008292811205092907
-0.7679943382738481,-1.9915120201549148,-0.4579208445964618,-0.7679943382738481,0.007848637490824362
-0.7448951037395694,-1.9858127399584422,-0.4633024422543777,-0.7448951037395694,0.007838583297356136
-0.7218076754274861,-1.9796479523097257,-0.4688593427975246,-0.7218076754274861,0.008299623509545122
-0.6986957105779081,-1.974209317515636,-0.47353762551476836,-0.6986957105779081,0.007173916476091926
-0.6768773934441497,-1.9691941822876815,-0.47765729074868446,-0.6768773934441497,0.0064902405960186324
-0.656530214204505,-1.9641227525954796,-0.48164795022695184,-0.656530214204505,0.006453275307503313
-0.6367183101223776,-1.9585428961271725,-0.4858786636302513,-0.6367183101223776,0.0070024091645495045
-0.6170520214958287,-1.9529170983343929,-0.48996539313789816,-0.6170520214958287,0.006953485375976253
-0.5974473487934587,-1.9472145548525528,-0.4939400517424675,-0.5974473487934587,0.006951036842454076
-0.5778951119299828,-1.9404526032734495,-0.49845712613953,-0.5778951119299828,0.008131909386284093
-0.5583587233046677,-1.9330406101150628,-0.503201412875572,-0.5583587233046677,0.008800335176216567
-0.538815845529514,-1.9255282105223053,-0.5078059198550211,-0.538815845529514,0.008811221945057285
-0.5202375712647922,-1.9182989085207607,-0.5120487781576283,-0.5202375712647922,0.008382401446216907
-0.5029544171439065,-1.9110214145966535,-0.5161449192292389,-0.5029544171439065,0.008351065171219281
-0.4865496667597415,-1.904054416127631,-0.5199134541058064,-0.4865496667597415,0.007920916789316038
-0.47074896251462806,-1.898030367803016,-0.5230501059612586,-0.47074896251462806,0.006791740798912203
-0.4552168269802155,-1.892980258767492,-0.5255819308595304,-0.4552168269802155,0.005649224600437646
-0.43980214521434263,-1.8869233769915539,-0.5284990576409396,-0.43980214521434263,0.00672275579703041
-0.42444498048057294,-1.8797751794831277,-0.5318057712585599,-0.42444498048057294,0.007875981371767324
-0.40890942428811117,-1.8721456543266102,-0.5351930153512452,-0.40890942428811117,0.008347638987004937
-0.3931334535013472,-1.864462429476764,-0.5384613565723998,-0.3931334535013472,0.008349490908504077
-0.37718107312369203,-1.8562971737381504,-0.5417821816888218,-0.37718107312369203,0.008814719549187095
-0.3611588874146732,-1.8480791470750093,-0.5449723803086963,-0.3611588874146732,0.008815516404065474
-0.34612990792625026,-1.8397942389698294,-0.5480399884744468,-0.34612990792625026,0.00883458670056809
-0.33288587756107707,-1.8319031312486016,-0.5508338538673009,-0.33288587756107707,0.008371096995102188
-0.3204526744261582,-1.82399118901308,-0.5535216579200151,-0.3204526744261582,0.00835602301121876
-0.30802836855089216,-1.8160474177138577,-0.5561109363892396,-0.30802836855089216,0.008355110139641348
-0.29605355965480595,-1.807642729266308,-0.5587365097571072,-0.29605355965480595,0.008805249764227663
-0.28419179763559826,-1.7991936786435827,-0.561266130756747,-0.28419179763559826,0.008819605366862687
-0.27202696104608204,-1.7907151665282122,-0.563694291136537,-0.27202696104608204,0.008819361117477099
-0.25972305765389486,-1.78220762192839,-0.5660184011482764,-0.25972305765389486,0.00881928582508984
-0.2477638624607747,-1.774107101600853,-0.5681256093784074,-0.2477638624607747,0.008370110877519652
-0.23587629395736837,-1.7659962837219576,-0.5701324473077923,-0.23587629395736837,0.008355403349894385
-0.22507552594309535,-1.7574225220237416,-0.5721488381420237,-0.22507552594309535,0.008807679697523508
-0.21504749917124816,-1.7488133397425818,-0.5740793807836504,-0.21504749917124816,0.008822982173923688
-0.20415368478641996,-1.740186120295391,-0.5759207125270506,-0.20415368478641996,0.008821531498512053
-0.19241146675398077,-1.7315403416176887,-0.5776645141536697,-0.19241146675398077,0.00881988282557154
-0.18182238619248284,-1.7233160161259184,-0.5792264585946119,-0.18182238619248284,0.008371332046405246
-0.17252741846512845,-1.7150882149635804,-0.5807027632551911,-0.17252741846512845,0.008359197773579635
-0.1639742127801874,-1.706401723761194,-0.5821814374084096,-0.1639742127801874,0.008811447478169214
-0.15563652281515494,-1.6976896175488658,-0.5835892088999702,-0.15563652281515494,0.00882511276003524
-0.1470007074117356,-1.688966054216022,-0.5849230864114637,-0.1470007074117356,0.008824952489266099
-0.13866981162636777,-1.680676861742918,-0.5861184507792552,-0.13866981162636777,0.00837493927309036
-0.13037936719614218,-1.6723919633508615,-0.5872433289729647,-0.13037936719614218,0.008360914562258327
-0.12175403466939284,-1.6641021769678594,-0.5882982901386064,-0.12175403466939284,0.008356644143244225
-0.11334398119146855,-1.6553514166082133,-0.5893317285701725,-0.11334398119146855,0.008811572042705693
-0.10492765750247399,-1.6465803336641656,-0.5902932549633007,-0.10492765750247399,0.00882362901622948
-0.09620677662408317,-1.637801454032596,-0.591179538926991,-0.09620677662408317,0.008823504227339681
-0.08771006530157066,-1.6294616048273818,-0.5919485986614871,-0.08771006530157066,0.008375233587246136
-0.0792349075385976,-1.6211310041209956,-0.5926460777082541,-0.0792349075385976,0.00835974791186434
-0.07190459827036118,-1.6123400741107838,-0.5933105453404176,-0.07190459827036118,0.008816006333858636
-0.06589446683529945,-1.6035323654863145,-0.5939183610920159,-0.06589446683529945,0.00882865625117676
-0.060250980402966475,-1.594720001303735,-0.5944754366733741,-0.060250980402966475,0.008829954455701065
-0.05508614707854629,-1.5863505226911014,-0.594958933106391,-0.05508614707854629,0.008383432533757952
-0.050058525714064,-1.57799517673337,-0.5953993558547563,-0.050058525714064,0.008366945575934934
-0.04484153607000238,-1.5696386594152159,-0.595796632247815,-0.04484153607000238,0.00836595542786904
-0.04097861773903818,-1.5608223669129466,-0.596173600759528,-0.04097861773903818,0.008824348063420421
-0.03851853303935568,-1.5519936786650792,-0.5965243601016289,-0.03851853303935568,0.008835653246597188
-0.03643465039327044,-1.543162911146211,-0.5968556437841166,-0.03643465039327044,0.008836979339716656
-0.034870959886275525,-1.5347772161821627,-0.5971547646269241,-0.034870959886275525,0.008391028143718057
-0.033453875802639914,-1.5264083228992182,-0.5974414438962983,-0.033453875802639914,0.008373801991019456
-0.03210225380346919,-1.5184867028740556,-0.5977013670652885,-0.03210225380346919,0.007925883160685328
-0.03082074111641495,-1.5096826365254952,-0.5979787422334394,-0.03082074111641495,0.008808434665351238
-0.029324806863584057,-1.5008494597190576,-0.598244692267007,-0.029324806863584057,0.00883717952257062
-0.027696411885737446,-1.492471003317327,-0.5984837035386553,-0.027696411885737446,0.008381864832104837
-0.024864934105707042,-1.4841030746309671,-0.5987053263044989,-0.024864934105707042,0.008370862987192172
-0.02060074896311282,-1.475737064830337,-0.5988969343954395,-0.02060074896311282,0.0083682037286836
-0.015722113504711772,-1.4673716923104676,-0.5990501618194809,-0.015722113504711772,0.008366775725431135
-0.010477765295964381,-1.4585553970469178,-0.59916710878369,-0.010477765295964381,0.008817070872264087
-0.005099699408352528,-1.4497251067326604,-0.5992371070851018,-0.005099699408352528,0.008830567750505563
0.00025218909354355587,-1.440894272976154,-0.5992596445480194,0.00025218909354355587,0.008830862515761845
0.004564923874602139,-1.432513196167238,-0.5992390606138239,0.004564923874602139,0.008381102085960894
0.006484017443157718,-1.4236899580458844,-0.5991883479625997,0.006484017443157718,0.008823383858764204
0.0069464783455872045,-1.4148503379288113,-0.5991284940263769,0.0069464783455872045,0.008839822753191616
0.007142731955941947,-1.4060098003048083,-0.599066091612126,0.007142731955941947,0.008840757860201685
0.006721399252410517,-1.3976199023664573,-0.5990074434506004,0.006721399252410517,0.008390102920870309
0.006143577495897635,-1.3892424552390006,-0.5989540431686728,0.006143577495897635,0.008377617320183725
0.005891465735330558,-1.380865911502988,-0.598904009788561,0.005891465735330558,0.008376693160218853
0.005327589179799018,-1.3720382319724493,-0.5988538603548121,0.005327589179799018,0.008827821977112833
0.004730111846549053,-1.363196571031275,-0.5988094383893293,0.004730111846549053,0.008841772532117367
0.004469981227864364,-1.354355054333076,-0.5987687150672227,0.004469981227864364,0.008841610481891577
0.0039617759350698825,-1.3459651861959765,-0.5987327975663819,0.0039617759350698825,0.008389945019175301
0.0034319480679268705,-1.3375877685148443,-0.598702051282391,0.0034319480679268705,0.008377474102504032
0.0032016259618275695,-1.329211157530871,-0.598674504839944,0.0032016259618275695,0.008376656277018564
0.0027526502484914134,-1.3203836594618714,-0.5986479573562594,0.0027526502484914134,0.008827537987858234
0.0022870866221368904,-1.31154211419588,-0.5986259512840454,0.0022870866221368904,0.008841572651841316
0.0020848726548857036,-1.3027006454890597,-0.5986067284195578,0.0020848726548857036,0.008841489603692498
0.0016944168058794335,-1.2943105197645803,-0.5985904244352697,0.0016944168058794335,0.008390141565699264
0.0012880395383020543,-1.2859331517946588,-0.5985779949187651,0.0012880395383020543,0.008377377190764854
0.001111652903517056,-1.2775565561867728,-0.5985680955661914,0.001111652903517056,0.00837660145734757
0.0007697450358424375,-1.2696318657613657,-0.5985605051741352,0.0007697450358424375,0.007924694060504209
0.00041389596578285837,-1.261719976720147,-0.5985560539504001,0.00041389596578285837,0.007911890293346364
6.519701847464928e-05,-1.2529063406077339,-0.5985537969453691,6.519701847464928e-05,0.008813636401401233
-0.00023455701601716102,-1.2440655547559443,-0.5985546750605243,-0.00023455701601716102,0.008840785895399198
-0.0003637459813820216,-1.2352243214965253,-0.598557422339094,-0.0003637459813820216,0.008841233686256465
